Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Defect_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Accident_severity
Friday,Unknown,Female,Below 1yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Thursday,Over 51,Male,Below 1yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Thursday,18-30,Male,,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Thursday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Slight Injury
Tuesday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Reversing,Pedestrian,Female,18-30,3,Serious Injury
Tuesday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,With Train,1,2,Going straight,Pedestrian,Male,31-50,3,Serious Injury
Saturday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,na,na,na,na,Slight Injury
Monday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Driver or rider,Male,31-50,2,Slight Injury
Monday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,Under 18,3,Slight Injury
Saturday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,Under 18,3,Slight Injury
Saturday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Slight Injury
Friday,31-50,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Under 18,3,Slight Injury
Friday,18-30,Male,Above 10yr,5,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Slight Injury
Tuesday,Unknown,Female,2-5yr,No defect,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Male,18-30,3,Slight Injury
Tuesday,Unknown,Female,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,na,na,na,na,Slight Injury
Tuesday,Unknown,Female,1-2yr,No defect,Dry,Daylight,Normal,Collision with pedestrians,1,1,Entering a junction,Driver or rider,Male,31-50,3,Slight Injury
Thursday,Over 51,Male,5-10yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Entering a junction,na,na,na,na,Slight Injury
Saturday,31-50,Male,Below 1yr,No defect,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Entering a junction,Driver or rider,Male,Over 51,3,Slight Injury
Wednesday,31-50,Male,Below 1yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Slight Injury
Wednesday,18-30,Male,,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,31-50,3,Slight Injury
Saturday,18-30,Male,Below 1yr,No defect,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Female,31-50,3,Slight Injury
Thursday,Unknown,Female,1-2yr,7,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Passenger,Male,18-30,3,Serious Injury
Saturday,31-50,Male,2-5yr,No defect,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,Under 18,3,Slight Injury
Saturday,18-30,Male,1-2yr,No defect,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Entering a junction,Passenger,Female,Under 18,3,Slight Injury
Tuesday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Pedestrian,Male,Under 18,3,Slight Injury
Tuesday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Pedestrian,Male,Under 18,3,Slight Injury
Tuesday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Female,18-30,3,Slight Injury
Tuesday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Thursday,18-30,Male,Below 1yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Thursday,Unknown,Male,5-10yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,31-50,3,Slight Injury
Friday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Slight Injury
Friday,Unknown,Unknown,2-5yr,No defect,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,2,Slight Injury
Wednesday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Pedestrian,Female,Under 18,2,Slight Injury
Monday,31-50,Male,5-10yr,No defect,Wet or damp,Daylight,Raining,Collision with pedestrians,1,1,Going straight,na,na,na,na,Slight Injury
Tuesday,Over 51,Male,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Tuesday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Slight Injury
Saturday,31-50,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Under 18,3,Slight Injury
Saturday,Unknown,Female,Below 1yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Overtaking,Pedestrian,Female,18-30,1,Slight Injury
Thursday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Slight Injury
Thursday,Unknown,Female,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Monday,31-50,Unknown,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,2,Slight Injury
Thursday,18-30,Unknown,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Slight Injury
Thursday,18-30,Male,,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Tuesday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Tuesday,31-50,Male,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Slight Injury
Tuesday,31-50,Male,,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Slight Injury
Friday,Over 51,Male,Above 10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,31-50,2,Serious Injury
Sunday,Over 51,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,Under 18,3,Slight Injury
Sunday,18-30,Male,5-10yr,,Dry,Daylight,Normal,Collision with roadside objects,2,2,Other,Driver or rider,Male,31-50,3,Slight Injury
Sunday,31-50,Male,Below 1yr,No defect,Wet or damp,Daylight,Windy,Collision with roadside objects,1,1,Entering a junction,Driver or rider,Female,18-30,3,Slight Injury
Thursday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,Driver or rider,Male,31-50,3,Slight Injury
Thursday,Unknown,Female,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,Slight Injury
Thursday,31-50,Male,5-10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,31-50,3,Slight Injury
Thursday,31-50,Male,1-2yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Thursday,Over 51,Male,,No defect,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Slight Injury
Thursday,Over 51,Male,1-2yr,,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Slight Injury
Thursday,31-50,Male,1-2yr,,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Slight Injury
Tuesday,31-50,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Tuesday,Unknown,Female,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Saturday,18-30,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,Over 51,3,Slight Injury
Saturday,Unknown,Female,5-10yr,,Dry,Daylight,Normal,Collision with pedestrians,2,1,Getting off,Passenger,Female,Over 51,3,Slight Injury
Friday,31-50,Male,Below 1yr,,Dry,Daylight,Normal,Collision with pedestrians,2,1,Getting off,Driver or rider,Female,Under 18,3,Slight Injury
Friday,18-30,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,Under 18,3,Slight Injury
Thursday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,2,Serious Injury
Thursday,31-50,Male,Below 1yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Serious Injury
Thursday,Unknown,Female,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Waiting to go,Driver or rider,Male,18-30,3,Slight Injury
Tuesday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Tuesday,31-50,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Female,18-30,3,Slight Injury
Wednesday,Over 51,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Wednesday,Under 18,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Thursday,Over 51,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Serious Injury
Thursday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Serious Injury
Wednesday,31-50,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,Female,18-30,3,Slight Injury
Wednesday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Slight Injury
Wednesday,31-50,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Wednesday,31-50,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,2,Slight Injury
Wednesday,18-30,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Slight Injury
Wednesday,18-30,Male,No Licence,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Monday,Over 51,Male,1-2yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Thursday,31-50,Male,5-10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Getting off,Driver or rider,Male,18-30,3,Slight Injury
Tuesday,18-30,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,31-50,3,Slight Injury
Tuesday,Unknown,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Passenger,Female,31-50,3,Slight Injury
Wednesday,31-50,Male,1-2yr,No defect,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,Male,31-50,2,Slight Injury
Wednesday,31-50,Male,1-2yr,No defect,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,Slight Injury
Wednesday,31-50,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Slight Injury
Friday,31-50,Male,1-2yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,31-50,3,Slight Injury
Wednesday,31-50,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Reversing,Passenger,Female,Under 18,3,Slight Injury
Wednesday,31-50,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Getting off,na,na,na,na,Slight Injury
Wednesday,31-50,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Wednesday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,3,3,Going straight,na,na,na,na,Slight Injury
Wednesday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Female,Over 51,3,Slight Injury
Wednesday,31-50,Male,1-2yr,,Dry,Daylight,Normal,Collision with roadside objects,3,3,Reversing,Pedestrian,Female,Over 51,3,Slight Injury
Wednesday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Slight Injury
Wednesday,31-50,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with pedestrians,1,1,Stopping,Driver or rider,Male,31-50,3,Slight Injury
Tuesday,18-30,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,na,na,na,na,Slight Injury
Tuesday,Over 51,Male,5-10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,Over 51,3,Slight Injury
Tuesday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Female,Over 51,2,Slight Injury
Tuesday,Over 51,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Wednesday,18-30,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Slight Injury
Friday,Unknown,Female,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Slight Injury
Friday,Unknown,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Friday,31-50,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Waiting to go,na,na,na,na,Slight Injury
Friday,31-50,Male,2-5yr,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Thursday,31-50,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Thursday,18-30,Male,1-2yr,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Slight Injury
Friday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,2,Slight Injury
Friday,31-50,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Pedestrian,Male,Under 18,3,Slight Injury
Thursday,Over 51,Male,1-2yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Slight Injury
Thursday,18-30,Male,1-2yr,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Wednesday,31-50,Male,No Licence,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,Under 18,3,Slight Injury
Wednesday,Unknown,Female,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Female,Under 18,3,Slight Injury
Thursday,31-50,Male,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,18-30,3,Slight Injury
Thursday,31-50,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Slight Injury
Thursday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Slight Injury
Thursday,18-30,Male,,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Sunday,18-30,Male,,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Slight Injury
Sunday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Pedestrian,Female,Under 18,2,Slight Injury
Monday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,4,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Monday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,4,Going straight,Passenger,Female,Under 18,3,Slight Injury
Monday,31-50,Male,,,Dry,Daylight,Normal,Collision with roadside objects,2,4,Going straight,Passenger,Female,Under 18,3,Slight Injury
Monday,31-50,Male,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Passenger,Male,Under 18,3,Slight Injury
Friday,31-50,Male,,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Slight Injury
Friday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Friday,18-30,Male,Above 10yr,,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Slight Injury
Friday,18-30,Male,Above 10yr,No defect,Wet or damp,Daylight,Raining,Collision with pedestrians,1,2,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Tuesday,18-30,Male,,,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Slight Injury
Tuesday,Unknown,Female,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,2,Slight Injury
Monday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Slight Injury
Monday,31-50,Male,Below 1yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Monday,31-50,Male,2-5yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Serious Injury
Tuesday,18-30,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Over 51,3,Slight Injury
Tuesday,Unknown,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Monday,Unknown,Female,,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Under 18,2,Slight Injury
Monday,18-30,Male,Below 1yr,No defect,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Monday,18-30,Male,Above 10yr,No defect,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,Over 51,3,Slight Injury
Wednesday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Serious Injury
Thursday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Collision with roadside objects,1,1,Turnover,Driver or rider,Male,Over 51,3,Slight Injury
Wednesday,18-30,Male,5-10yr,,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Slight Injury
Wednesday,Over 51,Male,,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Slight Injury
Monday,Unknown,Female,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,Over 51,3,Slight Injury
Monday,Under 18,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Slight Injury
Monday,Unknown,Female,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,31-50,3,Slight Injury
Saturday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,na,na,Serious Injury
Saturday,Unknown,Female,5-10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Male,18-30,3,Serious Injury
Friday,31-50,Male,Above 10yr,,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,Under 18,3,Serious Injury
Friday,18-30,Male,5-10yr,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,Under 18,2,Serious Injury
Wednesday,18-30,Male,No Licence,,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Slight Injury
Wednesday,31-50,Male,Below 1yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,,Driver or rider,Female,Over 51,2,Slight Injury
Tuesday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Slight Injury
Thursday,31-50,Male,5-10yr,No defect,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Serious Injury
Saturday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Saturday,Unknown,Female,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Wednesday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,3,Slight Injury
Wednesday,31-50,Male,2-5yr,,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,Passenger,Male,Over 51,3,Slight Injury
Wednesday,Under 18,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,18-30,3,Slight Injury
Saturday,31-50,Male,Above 10yr,No defect,Dry,Darkness - no lighting,Unknown,Collision with roadside objects,1,1,Getting off,na,na,na,na,Slight Injury
Monday,Unknown,Female,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,na,na,na,na,Slight Injury
Saturday,Unknown,Male,Below 1yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,31-50,3,Slight Injury
Saturday,18-30,Male,1-2yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Overtaking,na,na,na,na,Slight Injury
Saturday,31-50,Male,5-10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Passenger,Female,31-50,3,Slight Injury
Saturday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Tuesday,18-30,Male,5-10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,Driver or rider,Female,18-30,3,Serious Injury
Saturday,Unknown,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,na,na,na,na,Slight Injury
Wednesday,18-30,Male,2-5yr,No defect,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Female,31-50,2,Slight Injury
Wednesday,Over 51,Male,Above 10yr,No defect,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Slight Injury
Tuesday,Unknown,Male,2-5yr,No defect,Dry,Daylight,Normal,Collision with pedestrians,1,1,Moving Backward,Driver or rider,Female,18-30,3,Slight Injury
Saturday,18-30,Male,Below 1yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Slight Injury
Saturday,31-50,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Slight Injury
Friday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Friday,31-50,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Friday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,na,na,na,na,Slight Injury
Friday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,2,Slight Injury
Monday,18-30,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Slight Injury
Monday,31-50,Male,Above 10yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Slight Injury
Friday,31-50,Male,Below 1yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Slight Injury
Friday,31-50,Male,5-10yr,No defect,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,Driver or rider,Male,Over 51,3,Slight Injury
Friday,Unknown,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,2,Slight Injury
Wednesday,Unknown,Female,Above 10yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Slight Injury
Friday,18-30,Male,Below 1yr,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Serious Injury
Friday,Over 51,Male,2-5yr,No defect,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Serious Injury
