Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Defect_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Accident_severity
0,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
0,31-50,0,2.0,,0,0,0,Rollover,2,2,Reversing,Driver or rider,Female,18-30,3,1
0,31-50,0,0.0,,0,0,0,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,1
1,Over 51,0,2.0,,0,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,Over 51,2,1
1,18-30,0,3.0,No defect,0,0,0,Collision with pedestrians,2,1,Going straight,na,na,na,na,1
2,31-50,0,4.0,No defect,1,1,0,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,Male,18-30,3,1
1,Unknown,0,4.0,No defect,0,1,0,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,2
1,31-50,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Male,31-50,3,2
1,Unknown,0,1.0,,0,1,0,Vehicle with vehicle collision,3,1,Other,na,na,na,na,2
0,Unknown,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,,Driver or rider,Male,31-50,3,1
0,Unknown,1,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
0,Unknown,0,1.0,No defect,1,1,1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
0,31-50,0,3.0,No defect,1,1,1,Collision with roadside objects,2,1,Going straight,na,na,na,na,1
0,Unknown,1,4.0,,1,1,1,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,1
0,Under 18,0,0.0,,1,1,1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,Unknown,0,3.0,,0,0,0,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,3,1
1,18-30,0,4.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
2,31-50,0,0.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
2,31-50,0,1.0,,0,0,0,Collision with pedestrians,2,2,Going straight,na,na,na,na,1
2,Unknown,1,4.0,,0,0,0,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,1
4,Over 51,0,4.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,2
4,18-30,0,4.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,2
4,18-30,0,5.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,3,2
2,31-50,0,1.0,,0,0,0,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,1
2,18-30,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Female,31-50,3,1
2,Over 51,0,0.0,,0,0,0,Collision with roadside objects,4,2,Moving Backward,Pedestrian,Male,Over 51,3,1
2,Unknown,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,4,2,Going straight,Pedestrian,Female,Over 51,3,1
1,Unknown,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
1,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,1
1,18-30,0,4.0,,0,0,0,Vehicle with vehicle collision,2,2,,Driver or rider,Male,Over 51,3,1
6,31-50,0,2.0,,0,0,0,Vehicle with vehicle collision,2,2,Turnover,Passenger,Male,18-30,3,1
6,31-50,0,4.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
0,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,18-30,3,1
0,31-50,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,1
0,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,18-30,3,1
0,31-50,0,0.0,,0,0,0,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,1
0,31-50,0,2.0,No defect,0,1,0,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,18-30,3,3
4,Unknown,0,2.0,,1,0,6,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,31-50,0,2.0,,1,0,6,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,1
3,Unknown,0,2.0,,0,1,-1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
3,18-30,0,3.0,,0,1,-1,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,3,1
2,18-30,0,3.0,,0,0,-1,Collision with roadside objects,2,1,,Driver or rider,Female,18-30,3,2
2,Unknown,0,4.0,,0,0,-1,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,2
3,Unknown,1,3.0,,0,0,-1,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,31-50,2,1
3,31-50,0,3.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,Over 51,0,4.0,,1,0,1,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,Over 51,3,1
3,18-30,0,-1.0,,0,0,0,Collision with pedestrians,1,1,Turnover,Pedestrian,Female,Over 51,3,1
2,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Other,Pedestrian,Female,18-30,3,1
1,Unknown,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,Unknown,1,0.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
2,Over 51,0,-1.0,,0,0,0,Vehicle with vehicle collision,1,1,Other,na,na,na,na,1
4,18-30,0,3.0,,0,0,0,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,1
1,Over 51,0,3.0,,1,0,6,Vehicle with vehicle collision,2,2,Turnover,Driver or rider,Male,Over 51,2,1
1,31-50,2,4.0,,1,0,6,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,1
6,31-50,0,4.0,,0,0,0,Vehicle with vehicle collision,2,2,Turnover,na,na,na,na,1
6,31-50,0,4.0,,0,0,0,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,31-50,3,1
6,Unknown,0,4.0,,0,0,0,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,1
5,Unknown,1,4.0,,1,1,1,Vehicle with vehicle collision,2,1,,Driver or rider,Male,31-50,3,1
5,18-30,0,4.0,,1,1,1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,18-30,0,2.0,,0,0,0,Collision with roadside objects,2,1,Reversing,Driver or rider,Male,31-50,3,1
4,Unknown,0,0.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,1
4,31-50,0,0.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,1
1,Over 51,0,2.0,,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,1
1,18-30,0,0.0,,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
1,Unknown,1,0.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
1,31-50,0,-1.0,7,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,2,1
6,31-50,0,3.0,7,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,18-30,2,1
6,Unknown,0,0.0,No defect,0,0,0,Collision with roadside objects,2,1,Going straight,na,na,na,na,1
4,Unknown,0,0.0,No defect,0,1,0,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,31-50,3,1
4,31-50,0,1.0,No defect,0,1,0,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,1
4,31-50,0,4.0,No defect,0,1,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,1
5,Unknown,1,4.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Other,na,na,na,na,1
3,Unknown,0,0.0,,0,0,0,Rollover,2,1,Going straight,na,na,na,na,1
3,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,1
6,31-50,0,2.0,No defect,0,1,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,2
6,Under 18,0,4.0,,0,1,0,Collision with roadside objects,2,1,Reversing,na,na,na,na,2
4,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,,Passenger,Female,31-50,3,1
4,31-50,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,1
2,Over 51,0,1.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,1
2,Under 18,0,3.0,,0,0,0,Collision with roadside objects,2,2,Going straight,na,na,na,na,1
2,Under 18,0,0.0,,0,0,0,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,1
4,Unknown,1,0.0,,1,0,1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,Over 51,0,-1.0,No defect,1,0,1,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,1
6,Under 18,0,0.0,No defect,0,0,-1,Collision with roadside objects,2,2,Other,na,na,na,na,1
6,Under 18,0,1.0,No defect,0,0,-1,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,1
6,Unknown,0,2.0,No defect,0,0,-1,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
3,18-30,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,1
4,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,2,1
4,Over 51,0,0.0,,0,0,0,Collision with roadside objects,2,1,Reversing,na,na,na,na,1
5,Under 18,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,1
5,31-50,0,3.0,No defect,0,0,0,Collision with roadside-parked vehicles,2,3,Going straight,Driver or rider,Male,18-30,3,1
5,31-50,0,0.0,,0,0,0,Vehicle with vehicle collision,2,3,Other,Passenger,Male,18-30,3,1
5,Under 18,0,3.0,No defect,1,1,0,Collision with roadside objects,2,1,Going straight,na,na,na,na,1
5,31-50,0,3.0,No defect,1,1,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
0,Unknown,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,2
5,Unknown,1,4.0,No defect,0,1,0,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Female,18-30,3,1
5,18-30,0,3.0,,0,1,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,2,1
0,31-50,0,1.0,,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,1
1,31-50,0,4.0,,0,0,0,Collision with roadside-parked vehicles,3,2,Reversing,na,na,na,na,1
1,31-50,0,2.0,No defect,0,0,0,Collision with roadside-parked vehicles,3,2,Other,na,na,na,na,1
1,31-50,0,3.0,,0,0,0,Collision with animals,3,2,Going straight,Driver or rider,Male,31-50,3,1
1,31-50,0,0.0,No defect,0,0,0,Collision with animals,3,2,Going straight,Pedestrian,Male,18-30,3,1
1,Under 18,0,3.0,No defect,1,0,7,Collision with animals,1,1,Moving Backward,Driver or rider,Male,31-50,3,1
6,Unknown,1,4.0,,0,1,0,Collision with animals,2,1,Reversing,na,na,na,na,1
6,31-50,0,3.0,No defect,0,1,0,Collision with animals,2,1,Going straight,Driver or rider,Male,5,3,1
0,18-30,0,1.0,,1,1,6,Collision with animals,4,1,Going straight,Pedestrian,Female,31-50,3,1
0,Unknown,1,-1.0,No defect,1,1,6,Collision with animals,4,1,Moving Backward,Driver or rider,Male,31-50,3,1
0,Unknown,0,1.0,No defect,1,1,6,Collision with animals,4,1,Going straight,na,na,na,na,1
0,Unknown,0,4.0,No defect,1,1,6,Collision with animals,4,1,Going straight,Driver or rider,Male,31-50,3,1
6,18-30,0,1.0,No defect,0,0,0,Collision with animals,1,1,Going straight,na,na,na,na,2
6,31-50,0,3.0,No defect,0,0,0,Collision with animals,1,1,Going straight,Driver or rider,Male,Under 18,3,2
3,18-30,0,2.0,No defect,1,1,1,Collision with animals,3,3,Going straight,Driver or rider,Male,18-30,3,2
3,18-30,0,-1.0,No defect,1,1,1,Other,3,3,Going straight,Pedestrian,Female,31-50,3,2
3,Under 18,0,2.0,No defect,1,1,1,Rollover,3,3,,Driver or rider,Male,18-30,3,2
3,Over 51,0,2.0,No defect,1,1,1,Collision with animals,3,3,Going straight,na,na,na,na,2
1,31-50,0,4.0,No defect,0,0,6,Rollover,2,1,Reversing,na,na,na,na,1
1,18-30,0,1.0,No defect,0,0,6,Collision with animals,2,1,Going straight,Driver or rider,Male,31-50,3,1
3,18-30,0,1.0,No defect,0,0,-1,Collision with animals,2,2,Going straight,na,na,na,na,1
3,31-50,0,5.0,No defect,0,0,-1,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,1
3,31-50,0,1.0,No defect,0,0,-1,Fall from vehicles,2,2,Going straight,Driver or rider,Female,31-50,3,1
5,Under 18,0,3.0,,0,0,0,Collision with roadside-parked vehicles,2,1,Going straight,na,na,na,na,1
5,31-50,0,4.0,5,0,0,0,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,1
5,Unknown,0,4.0,No defect,0,0,-1,Rollover,2,1,Other,Driver or rider,Female,18-30,3,1
5,Over 51,0,3.0,No defect,0,0,-1,Collision with animals,2,1,Moving Backward,na,na,na,na,1
0,18-30,0,2.0,No defect,0,0,0,Collision with animals,2,1,Other,Passenger,Female,31-50,3,2
0,18-30,0,2.0,No defect,0,0,0,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,3,2
2,18-30,0,0.0,No defect,0,0,0,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,1
1,31-50,2,2.0,No defect,1,0,1,Collision with animals,2,2,Going straight,na,na,na,na,1
1,18-30,0,2.0,No defect,1,0,1,Collision with animals,2,2,Other,Driver or rider,Male,5,3,1
1,18-30,0,3.0,No defect,1,0,1,Collision with pedestrians,2,2,Going straight,Pedestrian,Male,Over 51,3,1
0,Unknown,0,4.0,7,0,0,-1,Vehicle with vehicle collision,2,1,,Driver or rider,Male,31-50,3,1
0,18-30,0,-1.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,1
4,Unknown,0,2.0,No defect,0,0,0,Collision with pedestrians,2,1,Going straight,na,na,na,na,1
4,Under 18,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
3,Over 51,0,2.0,No defect,1,0,1,Collision with roadside objects,1,1,Going straight,Passenger,Female,31-50,3,1
4,18-30,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,31-50,3,2
2,Over 51,0,1.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,1
2,18-30,0,2.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,31-50,0,4.0,No defect,1,0,6,Rollover,2,1,Going straight,Driver or rider,Male,18-30,3,2
4,18-30,0,0.0,No defect,1,0,6,Vehicle with vehicle collision,2,1,Turnover,Passenger,Female,18-30,3,2
6,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Over 51,3,1
3,Over 51,0,0.0,No defect,1,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
3,Over 51,0,3.0,No defect,1,0,0,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,1
2,Over 51,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,1
3,Unknown,0,0.0,No defect,0,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,1
3,Over 51,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
4,31-50,0,0.0,No defect,0,1,0,Rollover,2,4,Going straight,na,na,na,na,1
4,18-30,0,0.0,No defect,0,1,0,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,18-30,3,1
4,18-30,0,-1.0,No defect,0,1,0,Vehicle with vehicle collision,2,4,,na,na,na,na,1
4,18-30,0,2.0,No defect,0,1,0,Vehicle with vehicle collision,2,4,Other,Driver or rider,Male,31-50,3,1
2,18-30,0,4.0,No defect,1,0,4,Vehicle with vehicle collision,1,1,Getting off,Driver or rider,Male,18-30,3,1
0,18-30,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,Over 51,3,1
0,18-30,0,3.0,No defect,0,0,0,Collision with roadside objects,2,2,Going straight,Driver or rider,Female,5,3,1
0,Over 51,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,18-30,3,1
0,18-30,0,0.0,,0,0,0,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,Under 18,3,1
1,18-30,0,0.0,,0,0,0,Collision with roadside objects,2,1,Going straight,Passenger,Female,Under 18,3,1
1,31-50,0,2.0,,0,0,0,Collision with roadside objects,2,1,Moving Backward,na,na,na,na,1
0,31-50,0,1.0,,0,0,0,Vehicle with vehicle collision,2,2,Other,na,na,na,na,2
0,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,2
3,Unknown,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,1
3,18-30,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
6,18-30,0,4.0,,0,0,0,Collision with roadside objects,2,4,,Driver or rider,Male,18-30,3,1
6,18-30,0,3.0,,0,0,0,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,18-30,3,1
6,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,31-50,3,1
6,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,18-30,3,1
3,Under 18,0,4.0,,1,1,1,Vehicle with vehicle collision,2,5,Going straight,na,na,na,na,1
3,Under 18,0,1.0,,1,1,1,Vehicle with vehicle collision,2,5,Going straight,Driver or rider,Male,18-30,3,1
3,Under 18,0,2.0,,1,1,1,Vehicle with vehicle collision,2,5,Going straight,na,na,na,na,1
3,18-30,0,1.0,,1,1,1,Collision with roadside objects,2,5,Going straight,Pedestrian,Female,Under 18,3,1
3,18-30,0,-1.0,,1,1,1,Vehicle with vehicle collision,2,5,Going straight,Pedestrian,Female,Under 18,3,1
4,18-30,0,3.0,,0,0,-1,Collision with pedestrians,2,1,Going straight,na,na,na,na,1
4,31-50,0,3.0,,0,0,-1,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,1
1,Unknown,1,4.0,No defect,0,0,0,Collision with roadside objects,4,1,Going straight,Pedestrian,Male,Under 18,3,1
1,Unknown,1,2.0,,0,0,0,Vehicle with vehicle collision,4,1,,na,na,na,na,1
1,18-30,0,4.0,,0,0,0,Rollover,4,1,Going straight,Driver or rider,Male,18-30,3,1
1,31-50,0,2.0,,0,0,0,Vehicle with vehicle collision,4,1,Going straight,Pedestrian,Male,5,3,1
2,Over 51,0,3.0,,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,1
2,Unknown,0,3.0,,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
4,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Female,18-30,3,1
4,18-30,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,3,1
2,31-50,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,1
5,Unknown,0,0.0,No defect,0,1,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
5,31-50,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,1
5,31-50,0,1.0,,0,1,0,Collision with roadside objects,2,2,Going straight,na,na,na,na,1
4,18-30,0,-1.0,,1,0,1,Vehicle with vehicle collision,3,1,Moving Backward,Driver or rider,Male,18-30,3,1
4,31-50,0,4.0,,1,0,1,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,1
4,31-50,0,2.0,,1,0,1,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,1
3,31-50,0,1.0,,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,1
3,Under 18,0,1.0,,0,0,0,Collision with pedestrians,2,2,Other,na,na,na,na,1
4,Unknown,0,2.0,,0,0,0,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,Under 18,3,1
4,Unknown,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,1
4,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Male,31-50,3,1
4,Unknown,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,1
2,Unknown,0,3.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,1
2,Under 18,0,0.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
2,Unknown,1,2.0,,0,0,0,Collision with roadside objects,2,1,Going straight,na,na,na,na,1
2,31-50,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,2,1
6,Unknown,1,4.0,,0,1,0,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Male,18-30,3,1
6,Unknown,1,2.0,No defect,0,1,0,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Female,18-30,3,1
6,Over 51,0,4.0,No defect,0,1,0,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,1
5,18-30,0,1.0,,0,0,0,Vehicle with vehicle collision,3,4,Going straight,na,na,na,na,1
5,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,18-30,3,1
5,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,3,4,Moving Backward,na,na,na,na,1
5,18-30,0,2.0,,0,0,0,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,31-50,3,1
5,Unknown,0,2.0,No defect,0,0,0,Rollover,3,4,Going straight,Pedestrian,Male,Over 51,3,1
3,18-30,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,3,1
3,Under 18,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,1
3,Over 51,0,4.0,,0,0,0,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,1
0,Under 18,0,3.0,No defect,0,0,0,Collision with roadside objects,2,1,Turnover,na,na,na,na,1
0,Unknown,0,-1.0,,0,0,0,Vehicle with vehicle collision,2,1,Turnover,Passenger,Female,18-30,3,1
3,Unknown,0,2.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
3,Over 51,2,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,1
5,18-30,0,3.0,No defect,0,0,0,Collision with roadside objects,2,2,Going straight,Passenger,Female,18-30,3,1
5,Unknown,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,1
6,Over 51,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,3,2
6,18-30,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,2
1,18-30,0,0.0,No defect,1,0,1,Vehicle with vehicle collision,1,1,Getting off,Passenger,Male,18-30,3,1
2,Unknown,0,3.0,,1,0,1,Collision with roadside objects,2,1,Moving Backward,na,na,na,na,1
2,31-50,0,1.0,No defect,1,0,1,Vehicle with vehicle collision,2,1,Other,na,na,na,na,1
5,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,1
5,18-30,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,1
5,31-50,0,2.0,No defect,0,0,0,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,1
3,Under 18,0,3.0,No defect,0,1,0,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,3,1
3,Under 18,0,3.0,No defect,0,1,0,Collision with pedestrians,1,2,Going straight,na,na,na,na,1
3,Unknown,1,4.0,No defect,0,0,0,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,1
3,18-30,0,4.0,No defect,0,0,0,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,Under 18,3,1
3,18-30,0,0.0,No defect,0,0,0,Collision with roadside objects,3,2,Going straight,Driver or rider,Male,18-30,3,1
3,31-50,0,3.0,No defect,0,0,0,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,1
0,31-50,0,3.0,No defect,0,0,-1,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,1
0,Under 18,0,2.0,No defect,0,0,-1,Collision with pedestrians,2,1,Going straight,na,na,na,na,1
4,18-30,0,4.0,No defect,1,0,0,Vehicle with vehicle collision,1,2,Going straight,Pedestrian,Male,Over 51,3,1
4,18-30,0,2.0,No defect,1,0,0,Vehicle with vehicle collision,1,2,Moving Backward,Driver or rider,Male,31-50,3,1
1,Unknown,0,4.0,No defect,0,0,0,Collision with pedestrians,2,1,Going straight,na,na,na,na,1
1,18-30,0,0.0,No defect,0,0,0,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Female,5,3,1
4,Unknown,0,2.0,No defect,0,0,0,Collision with pedestrians,1,1,Moving Backward,Pedestrian,Male,Over 51,3,1
2,Unknown,0,3.0,,0,0,0,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,1
2,18-30,0,3.0,,0,0,0,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,1
3,31-50,0,1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,2
3,18-30,0,-1.0,No defect,0,0,0,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,2
5,18-30,0,1.0,No defect,1,0,0,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,Under 18,3,3
5,31-50,0,3.0,,1,0,0,Vehicle with vehicle collision,2,4,Going straight,na,na,na,na,3
5,31-50,0,1.0,No defect,1,0,0,Vehicle with vehicle collision,2,4,,Driver or rider,Male,Over 51,3,3
5,31-50,0,3.0,No defect,1,0,0,Collision with pedestrians,2,4,Other,na,na,na,na,3
